id,symbol,headline,summary,catalyst_type,positive,confirmed,confidence,reason,trade_result,pnl_pct,created_at,premarket_gap_pct,pre_open_pct,midday_pct,eod_pct,detection_price,premarket_checked_at,eod_checked_at,features
00000098,EEE,Synthetic EARNINGS headline #98,,EARNINGS,true,false,95,,,,2026-01-31 04:00:00+00,-0.05,1.9,3.09,5.94,144.25,,,"{""rsi"": 78.6, ""rvol"": 3.87, ""gap_pct"": -0.8, ""spy_regime"": 1}"
00000099,AAA,Synthetic ANALYST_UPGRADE headline #99,,ANALYST_UPGRADE,true,false,55,,,,2026-01-31 11:00:00+00,-0.2,-1.94,7.32,8.55,46.01,,,"{""rsi"": 29.6, ""rvol"": 3.72, ""gap_pct"": -2.25, ""spy_regime"": 1}"
00000100,DDD,Synthetic CLINICAL_TRIAL headline #100,,CLINICAL_TRIAL,true,false,40,,,,2026-01-31 18:00:00+00,1.02,1.73,1.23,2.55,77.61,,,"{""rsi"": 23.0, ""rvol"": 2.8, ""gap_pct"": -0.82, ""spy_regime"": 1}"
00000101,GGG,Synthetic ANALYST_UPGRADE headline #101,,ANALYST_UPGRADE,true,true,55,,,,2026-02-01 01:00:00+00,-0.54,0.23,-2.46,-4.57,126.45,,,"{""rsi"": 30.9, ""rvol"": 3.18, ""gap_pct"": 0.6, ""spy_regime"": 1}"
00000102,EEE,Synthetic MA headline #102,,MA,false,false,0,blocked: low confidence,,,2026-02-01 08:00:00+00,0.55,0.31,0.99,1.29,80.41,,,"{""rsi"": 75.4, ""rvol"": 4.43, ""gap_pct"": 2.13, ""spy_regime"": 1}"
00000103,GGG,Synthetic OTHER headline #103,,OTHER,true,false,40,,,,2026-02-01 15:00:00+00,-1.56,2.29,0.71,1.07,199.6,,,"{""rsi"": 70.3, ""rvol"": 2.97, ""gap_pct"": -1.28, ""spy_regime"": 1}"
00000104,GGG,Synthetic CLINICAL_TRIAL headline #104,,CLINICAL_TRIAL,true,true,85,,,,2026-02-01 22:00:00+00,-3.05,0.31,2.38,3.61,120.29,,,"{""rsi"": 21.9, ""rvol"": 2.22, ""gap_pct"": 0.44, ""spy_regime"": 1}"
00000105,CCC,Synthetic OTHER headline #105,,OTHER,true,false,70,,,,2026-02-02 05:00:00+00,-3.03,1.97,-3.03,-5.9,167.42,,,"{""rsi"": 52.1, ""rvol"": 2.97, ""gap_pct"": 4.31, ""spy_regime"": 1}"
00000106,EEE,Synthetic CONTRACT headline #106,,CONTRACT,true,true,70,,,,2026-02-02 12:00:00+00,-0.4,-0.47,1.87,2.26,127.19,,,"{""rsi"": 54.0, ""rvol"": 4.95, ""gap_pct"": 0.17, ""spy_regime"": 1}"
00000107,AAA,Synthetic ANALYST_UPGRADE headline #107,,ANALYST_UPGRADE,true,false,70,,,,2026-02-02 19:00:00+00,-4.61,0.22,0.3,0.55,20.71,,,"{""rsi"": 45.7, ""rvol"": 2.66, ""gap_pct"": 4.23, ""spy_regime"": 1}"
00000108,FFF,Synthetic CLINICAL_TRIAL headline #108,,CLINICAL_TRIAL,true,false,55,,,,2026-02-03 02:00:00+00,3.02,-1.49,1.3,2.04,72.09,,,"{""rsi"": 62.7, ""rvol"": 3.36, ""gap_pct"": 4.9, ""spy_regime"": 1}"
00000109,GGG,Synthetic EARNINGS headline #109,,EARNINGS,true,true,60,,,,2026-02-03 09:00:00+00,-2.65,0.06,1.94,3.06,182.21,,,"{""rsi"": 74.7, ""rvol"": 2.0, ""gap_pct"": -0.87, ""spy_regime"": 1}"
00000110,CCC,Synthetic EARNINGS headline #110,,EARNINGS,true,true,60,,,,2026-02-03 16:00:00+00,-1.23,-1.15,-1.96,-3.43,114.45,,,"{""rsi"": 35.7, ""rvol"": 4.17, ""gap_pct"": 5.19, ""spy_regime"": 1}"
00000111,GGG,Synthetic MA headline #111,,MA,false,false,0,blocked: low confidence,,,2026-02-03 23:00:00+00,0.69,0.22,-0.47,-0.74,17.88,,,"{""rsi"": 22.9, ""rvol"": 3.49, ""gap_pct"": -2.02, ""spy_regime"": 1}"
00000112,DDD,Synthetic CONTRACT headline #112,,CONTRACT,true,false,85,,,,2026-02-04 06:00:00+00,-0.19,1.15,-0.66,-1.3,100.52,,,"{""rsi"": 48.4, ""rvol"": 0.62, ""gap_pct"": -2.19, ""spy_regime"": 1}"
00000113,FFF,Synthetic MA headline #113,,MA,true,false,85,,,,2026-02-04 13:00:00+00,-0.08,0.7,-2.37,-5.79,110.98,,,"{""rsi"": 57.5, ""rvol"": 3.58, ""gap_pct"": 0.17, ""spy_regime"": 1}"
00000114,EEE,Synthetic OTHER headline #114,,OTHER,true,false,55,,,,2026-02-04 20:00:00+00,-1.12,0.9,1.12,1.45,34.72,,,"{""rsi"": 40.0, ""rvol"": 4.29, ""gap_pct"": 1.63, ""spy_regime"": 1}"
00000115,BBB,Synthetic ANALYST_UPGRADE headline #115,,ANALYST_UPGRADE,true,false,55,,,,2026-02-05 03:00:00+00,1.72,-2.84,-0.63,-1.14,104.21,,,"{""rsi"": 27.6, ""rvol"": 0.85, ""gap_pct"": 1.67, ""spy_regime"": 1}"
00000116,GGG,Synthetic MA headline #116,,MA,true,false,95,,,,2026-02-05 10:00:00+00,-0.05,2.13,3.15,5.39,13.53,,,"{""rsi"": 35.2, ""rvol"": 3.29, ""gap_pct"": -4.51, ""spy_regime"": 1}"
00000117,EEE,Synthetic CONTRACT headline #117,,CONTRACT,true,false,40,,,,2026-02-05 17:00:00+00,0.33,-0.74,2.43,4.13,114.79,,,"{""rsi"": 45.2, ""rvol"": 4.39, ""gap_pct"": -4.7, ""spy_regime"": 1}"
00000118,EEE,Synthetic EARNINGS headline #118,,EARNINGS,true,false,55,,,,2026-02-06 00:00:00+00,-2.47,1.03,-3.62,-6.06,158.78,,,"{""rsi"": 75.7, ""rvol"": 1.97, ""gap_pct"": 0.81, ""spy_regime"": 1}"
00000119,BBB,Synthetic OTHER headline #119,,OTHER,true,false,40,,,,2026-02-06 07:00:00+00,-3.58,1.84,6.61,8.09,41.18,,,"{""rsi"": 41.4, ""rvol"": 3.46, ""gap_pct"": -0.1, ""spy_regime"": 1}"
00000120,GGG,Synthetic ANALYST_UPGRADE headline #120,,ANALYST_UPGRADE,true,false,40,,,,2026-02-06 14:00:00+00,0.54,-4.2,-4.45,-7.49,130.97,,,"{""rsi"": 33.4, ""rvol"": 4.47, ""gap_pct"": 2.27, ""spy_regime"": 1}"
00000121,GGG,Synthetic CONTRACT headline #121,,CONTRACT,false,false,60,blocked: low confidence,,,2026-02-06 21:00:00+00,1.29,0.91,-2.9,-7.08,112.57,,,"{""rsi"": 73.8, ""rvol"": 5.34, ""gap_pct"": 2.02, ""spy_regime"": 1}"
00000122,AAA,Synthetic CLINICAL_TRIAL headline #122,,CLINICAL_TRIAL,true,false,40,,,,2026-02-07 04:00:00+00,0.14,0.15,-0.34,-0.43,97.99,,,"{""rsi"": 42.0, ""rvol"": 1.93, ""gap_pct"": 2.13, ""spy_regime"": 1}"
00000123,AAA,Synthetic CONTRACT headline #123,,CONTRACT,false,false,0,blocked: low confidence,,,2026-02-07 11:00:00+00,-3.12,1.39,-0.68,-1.13,158.45,,,"{""rsi"": 79.5, ""rvol"": 2.75, ""gap_pct"": 1.41, ""spy_regime"": 1}"
00000124,CCC,Synthetic ANALYST_UPGRADE headline #124,,ANALYST_UPGRADE,true,true,60,,,,2026-02-07 18:00:00+00,3.0,-2.82,6.61,9.88,90.31,,,"{""rsi"": 70.0, ""rvol"": 4.49, ""gap_pct"": -7.25, ""spy_regime"": 1}"
00000125,AAA,Synthetic MA headline #125,,MA,true,false,60,,,,2026-02-08 01:00:00+00,0.17,-1.17,-0.92,-1.77,5.06,,,"{""rsi"": 32.6, ""rvol"": 5.78, ""gap_pct"": 3.35, ""spy_regime"": 1}"
00000126,GGG,Synthetic MA headline #126,,MA,true,false,95,,,,2026-02-08 08:00:00+00,1.1,-1.3,2.72,3.2,197.23,,,"{""rsi"": 26.1, ""rvol"": 5.73, ""gap_pct"": -4.53, ""spy_regime"": 1}"
00000127,FFF,Synthetic MA headline #127,,MA,false,false,0,blocked: low confidence,,,2026-02-08 15:00:00+00,-1.53,-1.17,1.25,2.24,145.69,,,"{""rsi"": 50.4, ""rvol"": 2.02, ""gap_pct"": 2.05, ""spy_regime"": 1}"
00000128,DDD,Synthetic ANALYST_UPGRADE headline #128,,ANALYST_UPGRADE,true,true,70,,,,2026-02-08 22:00:00+00,0.42,0.64,-0.92,-1.94,44.63,,,"{""rsi"": 64.6, ""rvol"": 3.5, ""gap_pct"": 4.25, ""spy_regime"": 1}"
00000129,DDD,Synthetic CLINICAL_TRIAL headline #129,,CLINICAL_TRIAL,true,true,85,,,,2026-02-09 05:00:00+00,1.23,0.12,-1.15,-2.66,66.34,,,"{""rsi"": 52.2, ""rvol"": 5.74, ""gap_pct"": -0.05, ""spy_regime"": 1}"
00000130,GGG,Synthetic CONTRACT headline #130,,CONTRACT,true,false,70,,,,2026-02-09 12:00:00+00,1.67,-0.43,-3.42,-6.97,177.89,,,"{""rsi"": 68.8, ""rvol"": 0.88, ""gap_pct"": 0.02, ""spy_regime"": 1}"
00000131,FFF,Synthetic CONTRACT headline #131,,CONTRACT,false,true,0,blocked: low confidence,,,2026-02-09 19:00:00+00,3.0,-1.92,-0.52,-0.73,182.48,,,"{""rsi"": 23.3, ""rvol"": 3.89, ""gap_pct"": -4.39, ""spy_regime"": 1}"
00000132,GGG,Synthetic EARNINGS headline #132,,EARNINGS,false,false,20,blocked: low confidence,,,2026-02-10 02:00:00+00,-1.94,-0.01,2.14,3.2,92.28,,,"{""rsi"": 59.9, ""rvol"": 2.81, ""gap_pct"": -3.91, ""spy_regime"": 1}"
00000133,CCC,Synthetic MA headline #133,,MA,false,true,0,blocked: low confidence,,,2026-02-10 09:00:00+00,-1.74,-0.31,-1.6,-3.03,119.89,,,"{""rsi"": 55.7, ""rvol"": 5.62, ""gap_pct"": -2.34, ""spy_regime"": 1}"
00000134,DDD,Synthetic MA headline #134,,MA,true,false,55,,,,2026-02-10 16:00:00+00,1.75,3.14,-5.22,-6.57,27.96,,,"{""rsi"": 79.4, ""rvol"": 3.2, ""gap_pct"": 3.48, ""spy_regime"": 1}"
00000135,EEE,Synthetic EARNINGS headline #135,,EARNINGS,false,true,20,blocked: low confidence,,,2026-02-10 23:00:00+00,-1.84,-0.15,-6.4,-12.7,15.77,,,"{""rsi"": 72.2, ""rvol"": 4.41, ""gap_pct"": -0.7, ""spy_regime"": 1}"
00000136,DDD,Synthetic ANALYST_UPGRADE headline #136,,ANALYST_UPGRADE,true,true,85,,,,2026-02-11 06:00:00+00,2.11,0.77,1.83,4.27,24.13,,,"{""rsi"": 46.4, ""rvol"": 4.66, ""gap_pct"": -0.53, ""spy_regime"": 1}"
00000137,DDD,Synthetic CONTRACT headline #137,,CONTRACT,false,false,20,blocked: low confidence,,,2026-02-11 13:00:00+00,0.5,-0.65,0.47,0.95,68.75,,,"{""rsi"": 75.7, ""rvol"": 5.75, ""gap_pct"": -1.74, ""spy_regime"": 1}"
00000138,DDD,Synthetic EARNINGS headline #138,,EARNINGS,false,true,95,blocked: low confidence,,,2026-02-11 20:00:00+00,-5.99,-1.78,3.72,6.32,107.85,,,"{""rsi"": 39.0, ""rvol"": 5.76, ""gap_pct"": 2.29, ""spy_regime"": 1}"
00000139,HHH,Synthetic ANALYST_UPGRADE headline #139,,ANALYST_UPGRADE,false,false,70,blocked: low confidence,,,2026-02-12 03:00:00+00,1.56,0.31,-0.79,-1.49,44.29,,,"{""rsi"": 66.0, ""rvol"": 1.44, ""gap_pct"": -1.72, ""spy_regime"": 1}"
00000140,GGG,Synthetic EARNINGS headline #140,,EARNINGS,true,true,70,,,,2026-02-12 10:00:00+00,0.24,0.55,4.01,7.53,148.04,,,"{""rsi"": 41.6, ""rvol"": 2.21, ""gap_pct"": -0.15, ""spy_regime"": 1}"
00000141,BBB,Synthetic CONTRACT headline #141,,CONTRACT,true,true,85,,,,2026-02-12 17:00:00+00,-0.88,2.97,-4.42,-8.13,71.23,,,"{""rsi"": 62.2, ""rvol"": 1.79, ""gap_pct"": -0.29, ""spy_regime"": 1}"
00000142,GGG,Synthetic CLINICAL_TRIAL headline #142,,CLINICAL_TRIAL,true,false,95,,,,2026-02-13 00:00:00+00,-1.32,1.72,-3.66,-5.02,121.45,,,"{""rsi"": 46.9, ""rvol"": 0.85, ""gap_pct"": 3.21, ""spy_regime"": 1}"
00000143,GGG,Synthetic OTHER headline #143,,OTHER,false,true,0,blocked: low confidence,,,2026-02-13 07:00:00+00,-1.61,0.66,-0.43,-0.54,76.84,,,"{""rsi"": 55.6, ""rvol"": 5.26, ""gap_pct"": -0.34, ""spy_regime"": 1}"
00000144,AAA,Synthetic MA headline #144,,MA,false,false,20,blocked: low confidence,,,2026-02-13 14:00:00+00,-0.5,-2.2,-1.38,-2.41,44.22,,,"{""rsi"": 67.4, ""rvol"": 0.59, ""gap_pct"": -2.75, ""spy_regime"": 1}"
00000145,AAA,Synthetic OTHER headline #145,,OTHER,false,false,0,blocked: low confidence,,,2026-02-13 21:00:00+00,5.38,-0.76,-2.71,-3.02,74.26,,,"{""rsi"": 47.9, ""rvol"": 2.24, ""gap_pct"": -2.5, ""spy_regime"": 1}"
00000146,DDD,Synthetic OTHER headline #146,,OTHER,true,true,55,,,,2026-02-14 04:00:00+00,-2.63,-0.22,0.69,1.06,199.95,,,"{""rsi"": 59.4, ""rvol"": 4.85, ""gap_pct"": 0.66, ""spy_regime"": 1}"
00000147,HHH,Synthetic EARNINGS headline #147,,EARNINGS,true,false,85,,,,2026-02-14 11:00:00+00,0.16,-0.75,6.4,10.08,140.09,,,"{""rsi"": 67.2, ""rvol"": 5.48, ""gap_pct"": 0.17, ""spy_regime"": 1}"
00000148,BBB,Synthetic EARNINGS headline #148,,EARNINGS,false,true,70,blocked: low confidence,,,2026-02-14 18:00:00+00,-0.76,1.69,2.13,4.6,113.53,,,"{""rsi"": 78.5, ""rvol"": 4.77, ""gap_pct"": 1.96, ""spy_regime"": 1}"
00000149,AAA,Synthetic MA headline #149,,MA,true,false,40,,,,2026-02-15 01:00:00+00,2.66,-0.13,-1.61,-3.33,156.16,,,"{""rsi"": 34.8, ""rvol"": 2.78, ""gap_pct"": -0.19, ""spy_regime"": 1}"
00000150,BBB,Synthetic EARNINGS headline #150,,EARNINGS,false,true,40,blocked: low confidence,,,2026-02-15 08:00:00+00,-0.25,0.11,0.83,1.73,31.36,,,"{""rsi"": 53.9, ""rvol"": 1.46, ""gap_pct"": -3.3, ""spy_regime"": 1}"
00000151,AAA,Synthetic MA headline #151,,MA,true,false,85,,,,2026-02-15 15:00:00+00,-1.3,0.81,-1.52,-3.0,100.21,,,"{""rsi"": 74.7, ""rvol"": 3.49, ""gap_pct"": -2.07, ""spy_regime"": 1}"
00000152,BBB,Synthetic CLINICAL_TRIAL headline #152,,CLINICAL_TRIAL,true,false,85,,,,2026-02-15 22:00:00+00,-1.33,0.78,2.79,3.63,113.34,,,"{""rsi"": 28.3, ""rvol"": 5.9, ""gap_pct"": 9.08, ""spy_regime"": 1}"
00000153,AAA,Synthetic CLINICAL_TRIAL headline #153,,CLINICAL_TRIAL,true,true,70,,,,2026-02-16 05:00:00+00,1.02,1.26,-1.65,-2.93,68.77,,,"{""rsi"": 27.0, ""rvol"": 2.21, ""gap_pct"": 2.88, ""spy_regime"": 1}"
00000154,HHH,Synthetic OTHER headline #154,,OTHER,false,false,20,blocked: low confidence,,,2026-02-16 12:00:00+00,-0.2,-1.44,-1.68,-2.41,98.35,,,"{""rsi"": 33.8, ""rvol"": 4.62, ""gap_pct"": 1.88, ""spy_regime"": 1}"
00000155,AAA,Synthetic ANALYST_UPGRADE headline #155,,ANALYST_UPGRADE,false,true,70,blocked: low confidence,,,2026-02-16 19:00:00+00,-0.93,1.61,4.86,7.39,168.5,,,"{""rsi"": 32.6, ""rvol"": 4.69, ""gap_pct"": -1.05, ""spy_regime"": 1}"
00000156,FFF,Synthetic EARNINGS headline #156,,EARNINGS,false,false,0,blocked: low confidence,,,2026-02-17 02:00:00+00,-1.34,0.71,0.9,1.22,162.12,,,"{""rsi"": 76.6, ""rvol"": 4.06, ""gap_pct"": 3.9, ""spy_regime"": 1}"
00000157,HHH,Synthetic ANALYST_UPGRADE headline #157,,ANALYST_UPGRADE,false,true,55,blocked: low confidence,,,2026-02-17 09:00:00+00,2.67,0.62,1.51,2.23,33.71,,,"{""rsi"": 37.1, ""rvol"": 2.05, ""gap_pct"": 0.35, ""spy_regime"": 1}"
00000158,GGG,Synthetic MA headline #158,,MA,false,false,0,blocked: low confidence,,,2026-02-17 16:00:00+00,-1.43,1.81,5.25,6.13,117.23,,,"{""rsi"": 20.3, ""rvol"": 4.55, ""gap_pct"": -2.01, ""spy_regime"": 1}"
00000159,HHH,Synthetic CLINICAL_TRIAL headline #159,,CLINICAL_TRIAL,true,false,40,,,,2026-02-17 23:00:00+00,-1.39,2.21,-0.38,-0.87,152.11,,,"{""rsi"": 60.6, ""rvol"": 4.91, ""gap_pct"": -1.51, ""spy_regime"": 1}"
00000160,BBB,Synthetic MA headline #160,,MA,true,true,70,,,,2026-02-18 06:00:00+00,1.22,-0.48,-0.05,-0.08,81.24,,,"{""rsi"": 61.5, ""rvol"": 4.09, ""gap_pct"": -4.54, ""spy_regime"": 1}"
00000161,HHH,Synthetic CONTRACT headline #161,,CONTRACT,false,false,20,blocked: low confidence,,,2026-02-18 13:00:00+00,-3.06,0.09,1.88,3.17,9.18,,,"{""rsi"": 45.9, ""rvol"": 2.58, ""gap_pct"": -2.42, ""spy_regime"": 1}"
00000162,CCC,Synthetic MA headline #162,,MA,false,false,20,blocked: low confidence,,,2026-02-18 20:00:00+00,-1.13,-1.19,-0.09,-0.12,118.41,,,"{""rsi"": 32.1, ""rvol"": 2.4, ""gap_pct"": -1.81, ""spy_regime"": 1}"
00000163,HHH,Synthetic CLINICAL_TRIAL headline #163,,CLINICAL_TRIAL,true,false,95,,,,2026-02-19 03:00:00+00,0.16,1.16,-2.55,-3.33,97.65,,,"{""rsi"": 78.8, ""rvol"": 2.3, ""gap_pct"": 3.09, ""spy_regime"": 1}"
00000164,GGG,Synthetic ANALYST_UPGRADE headline #164,,ANALYST_UPGRADE,false,false,60,blocked: low confidence,,,2026-02-19 10:00:00+00,1.86,-0.89,-2.94,-4.56,88.25,,,"{""rsi"": 57.1, ""rvol"": 3.58, ""gap_pct"": 3.31, ""spy_regime"": 1}"
00000165,HHH,Synthetic OTHER headline #165,,OTHER,false,true,20,blocked: low confidence,,,2026-02-19 17:00:00+00,-0.57,0.75,-2.36,-2.7,9.91,,,"{""rsi"": 61.9, ""rvol"": 3.62, ""gap_pct"": 5.45, ""spy_regime"": 1}"
00000166,DDD,Synthetic CONTRACT headline #166,,CONTRACT,true,false,60,,,,2026-02-20 00:00:00+00,-3.72,-1.59,0.45,0.52,108.39,,,"{""rsi"": 56.6, ""rvol"": 1.16, ""gap_pct"": 1.96, ""spy_regime"": 1}"
00000167,FFF,Synthetic OTHER headline #167,,OTHER,true,false,70,,,,2026-02-20 07:00:00+00,2.46,0.24,1.01,1.92,166.65,,,"{""rsi"": 78.9, ""rvol"": 1.11, ""gap_pct"": -3.85, ""spy_regime"": 1}"
00000168,GGG,Synthetic ANALYST_UPGRADE headline #168,,ANALYST_UPGRADE,true,true,60,,,,2026-02-20 14:00:00+00,2.12,2.51,-1.47,-1.78,59.15,,,"{""rsi"": 36.7, ""rvol"": 3.3, ""gap_pct"": 0.23, ""spy_regime"": 1}"
00000169,FFF,Synthetic OTHER headline #169,,OTHER,true,false,40,,,,2026-02-20 21:00:00+00,-1.45,-1.53,-1.0,-1.56,128.78,,,"{""rsi"": 38.4, ""rvol"": 2.85, ""gap_pct"": -3.83, ""spy_regime"": 1}"
00000170,BBB,Synthetic OTHER headline #170,,OTHER,true,false,70,,,,2026-02-21 04:00:00+00,-4.08,-1.55,-3.98,-5.17,71.71,,,"{""rsi"": 33.9, ""rvol"": 5.72, ""gap_pct"": -0.14, ""spy_regime"": 1}"
00000171,CCC,Synthetic EARNINGS headline #171,,EARNINGS,false,true,0,blocked: low confidence,,,2026-02-21 11:00:00+00,2.75,0.84,4.04,9.32,41.47,,,"{""rsi"": 42.0, ""rvol"": 2.44, ""gap_pct"": -3.1, ""spy_regime"": 1}"
00000172,CCC,Synthetic OTHER headline #172,,OTHER,false,true,40,blocked: low confidence,,,2026-02-21 18:00:00+00,2.64,1.19,7.56,10.7,184.19,,,"{""rsi"": 52.5, ""rvol"": 2.9, ""gap_pct"": -1.31, ""spy_regime"": 1}"
00000173,BBB,Synthetic CLINICAL_TRIAL headline #173,,CLINICAL_TRIAL,false,false,20,blocked: low confidence,,,2026-02-22 01:00:00+00,1.12,0.95,0.95,1.68,139.62,,,"{""rsi"": 21.8, ""rvol"": 5.67, ""gap_pct"": 1.51, ""spy_regime"": 1}"
00000174,FFF,Synthetic CONTRACT headline #174,,CONTRACT,false,false,40,blocked: low confidence,,,2026-02-22 08:00:00+00,0.78,-0.26,3.89,5.9,6.98,,,"{""rsi"": 49.4, ""rvol"": 3.75, ""gap_pct"": -5.44, ""spy_regime"": 1}"
00000175,CCC,Synthetic EARNINGS headline #175,,EARNINGS,false,false,0,blocked: low confidence,,,2026-02-22 15:00:00+00,-0.91,-1.68,4.25,6.16,191.56,,,"{""rsi"": 21.4, ""rvol"": 0.68, ""gap_pct"": 3.91, ""spy_regime"": 1}"
00000176,FFF,Synthetic EARNINGS headline #176,,EARNINGS,false,false,20,blocked: low confidence,,,2026-02-22 22:00:00+00,-0.94,1.19,-2.83,-6.96,45.59,,,"{""rsi"": 43.7, ""rvol"": 1.78, ""gap_pct"": 5.47, ""spy_regime"": 1}"
00000177,GGG,Synthetic ANALYST_UPGRADE headline #177,,ANALYST_UPGRADE,true,false,60,,,,2026-02-23 05:00:00+00,0.51,0.76,-1.88,-3.57,135.96,,,"{""rsi"": 47.3, ""rvol"": 1.79, ""gap_pct"": -0.44, ""spy_regime"": 1}"
00000178,CCC,Synthetic OTHER headline #178,,OTHER,true,false,70,,,,2026-02-23 12:00:00+00,-0.28,0.51,-1.15,-1.76,105.98,,,"{""rsi"": 35.3, ""rvol"": 5.32, ""gap_pct"": -1.92, ""spy_regime"": 1}"
00000179,GGG,Synthetic CONTRACT headline #179,,CONTRACT,true,false,55,,,,2026-02-23 19:00:00+00,-1.02,-0.29,-1.15,-1.57,153.4,,,"{""rsi"": 34.7, ""rvol"": 1.7, ""gap_pct"": -0.3, ""spy_regime"": 1}"
00000180,DDD,Synthetic CLINICAL_TRIAL headline #180,,CLINICAL_TRIAL,false,true,20,blocked: low confidence,,,2026-02-24 02:00:00+00,-1.2,0.85,2.9,4.17,135.08,,,"{""rsi"": 34.0, ""rvol"": 5.96, ""gap_pct"": -0.0, ""spy_regime"": 1}"
00000181,BBB,Synthetic EARNINGS headline #181,,EARNINGS,false,false,95,blocked: low confidence,,,2026-02-24 09:00:00+00,1.13,2.96,0.86,0.98,190.98,,,"{""rsi"": 45.5, ""rvol"": 1.37, ""gap_pct"": 0.25, ""spy_regime"": 1}"
00000182,DDD,Synthetic CONTRACT headline #182,,CONTRACT,true,false,70,,,,2026-02-24 16:00:00+00,2.38,-1.63,3.48,3.98,189.28,,,"{""rsi"": 31.6, ""rvol"": 1.25, ""gap_pct"": 3.69, ""spy_regime"": 1}"
00000183,BBB,Synthetic ANALYST_UPGRADE headline #183,,ANALYST_UPGRADE,true,false,70,,,,2026-02-24 23:00:00+00,-0.45,0.89,2.26,4.9,196.75,,,"{""rsi"": 63.5, ""rvol"": 4.22, ""gap_pct"": 4.83, ""spy_regime"": 1}"
00000184,CCC,Synthetic MA headline #184,,MA,true,false,95,,,,2026-02-25 06:00:00+00,0.96,1.14,-0.09,-0.13,131.76,,,"{""rsi"": 21.0, ""rvol"": 5.57, ""gap_pct"": 1.32, ""spy_regime"": 1}"
00000185,GGG,Synthetic CLINICAL_TRIAL headline #185,,CLINICAL_TRIAL,true,true,95,,,,2026-02-25 13:00:00+00,-1.57,-0.33,-0.48,-1.14,188.98,,,"{""rsi"": 78.7, ""rvol"": 0.63, ""gap_pct"": 0.43, ""spy_regime"": 1}"
00000186,CCC,Synthetic EARNINGS headline #186,,EARNINGS,false,false,55,blocked: low confidence,,,2026-02-25 20:00:00+00,-0.66,0.76,1.2,1.35,101.34,,,"{""rsi"": 59.2, ""rvol"": 3.06, ""gap_pct"": 5.28, ""spy_regime"": 1}"
00000187,GGG,Synthetic ANALYST_UPGRADE headline #187,,ANALYST_UPGRADE,true,true,70,,,,2026-02-26 03:00:00+00,-2.4,0.85,-0.57,-1.09,73.25,,,"{""rsi"": 73.0, ""rvol"": 3.7, ""gap_pct"": -1.84, ""spy_regime"": 1}"
00000188,EEE,Synthetic MA headline #188,,MA,true,false,95,,,,2026-02-26 10:00:00+00,0.44,-3.48,2.78,4.98,35.04,,,"{""rsi"": 50.5, ""rvol"": 5.92, ""gap_pct"": -4.95, ""spy_regime"": 1}"
00000189,HHH,Synthetic ANALYST_UPGRADE headline #189,,ANALYST_UPGRADE,true,false,85,,,,2026-02-26 17:00:00+00,-0.11,-2.69,-0.28,-0.38,138.4,,,"{""rsi"": 40.8, ""rvol"": 3.58, ""gap_pct"": 1.32, ""spy_regime"": 1}"
00000190,HHH,Synthetic CLINICAL_TRIAL headline #190,,CLINICAL_TRIAL,true,false,95,,,,2026-02-27 00:00:00+00,1.03,0.32,-2.09,-5.05,94.06,,,"{""rsi"": 25.4, ""rvol"": 3.24, ""gap_pct"": -1.91, ""spy_regime"": 1}"
00000191,DDD,Synthetic EARNINGS headline #191,,EARNINGS,false,false,0,blocked: low confidence,,,2026-02-27 07:00:00+00,1.94,-1.02,-0.15,-0.24,117.9,,,"{""rsi"": 43.9, ""rvol"": 0.73, ""gap_pct"": 0.95, ""spy_regime"": 1}"
00000192,DDD,Synthetic CLINICAL_TRIAL headline #192,,CLINICAL_TRIAL,false,false,20,blocked: low confidence,,,2026-02-27 14:00:00+00,-1.85,-1.83,0.91,1.45,65.26,,,"{""rsi"": 59.9, ""rvol"": 3.27, ""gap_pct"": -1.33, ""spy_regime"": 1}"
00000193,EEE,Synthetic OTHER headline #193,,OTHER,true,true,40,,,,2026-02-27 21:00:00+00,-0.13,-0.44,-1.4,-1.74,160.85,,,"{""rsi"": 30.6, ""rvol"": 4.98, ""gap_pct"": -5.31, ""spy_regime"": 1}"
00000194,CCC,Synthetic OTHER headline #194,,OTHER,true,false,70,,,,2026-02-28 04:00:00+00,4.39,2.7,-5.65,-6.76,186.7,,,"{""rsi"": 58.7, ""rvol"": 0.85, ""gap_pct"": -4.22, ""spy_regime"": 1}"
00000195,GGG,Synthetic ANALYST_UPGRADE headline #195,,ANALYST_UPGRADE,true,true,40,,,,2026-02-28 11:00:00+00,0.41,-2.61,4.65,5.56,27.68,,,"{""rsi"": 63.6, ""rvol"": 0.82, ""gap_pct"": -0.39, ""spy_regime"": 1}"
00000196,DDD,Synthetic CLINICAL_TRIAL headline #196,,CLINICAL_TRIAL,true,false,95,,,,2026-02-28 18:00:00+00,0.33,2.07,0.45,0.99,10.7,,,"{""rsi"": 73.0, ""rvol"": 3.25, ""gap_pct"": 4.67, ""spy_regime"": 1}"
00000197,FFF,Synthetic ANALYST_UPGRADE headline #197,,ANALYST_UPGRADE,true,true,85,,,,2026-03-01 01:00:00+00,3.95,-1.46,0.58,1.06,55.57,,,"{""rsi"": 66.3, ""rvol"": 1.07, ""gap_pct"": -0.65, ""spy_regime"": 1}"
